Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index, NAV , 52 WeekHigh (NAV), 52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%), No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
Kotak Medium Term Fund(G),Deepak Agrawal,DT-MD,3,1828.1,1.63,Open Ended,21-Mar-14,CRISIL Medium Duration Debt Index,21.71,21.71,19.92,0.25,1.18,4.34,8.97,7.55,6.09,6.22,7.04,0,1,70391,47.32,24.64,9.83,Capital Goods,4.97,3.35,8.24,3.53,3.92,7.12,0.45,1.25,Debt : Medium Duration,Nil
Kotak MNC Fund-Reg(G),Harsha Upadhyaya,EQ-MNC,Unrated,2410,1.96,Open Ended,28-Oct-24,NIFTY MNC - TRI,10.26,10.36,9.87,-0.6,-6.09,4.15,24.66,25.72,6.19,17.07,17.46,27.49,38,106531,49.09,19.26,17.27,FMCG,22.22,1.21,7.04,16.08,1.08,1.51,1.08,0.64,Equity : Thematic - MNC,0.50% on or before 90D Nil after 90D
Kotak Money Market Fund(G),Deepak Agrawal,DT-MM,3,29774.4,0.35,Open Ended,14-Jul-03,CRISIL Money Market Index,4320.56,4320.56,4013.51,0.62,1.78,3.67,7.67,7.49,6.62,5.83,6.76,0,100,555830,92.18,0.28,37.09,Financials,0.46,0.46,7.51,3.53,10.98,23,0.03,0.33,Debt : Money Market,Nil
Kotak Multi Asset Allocation Fund-Reg(G),Devender Singhal,HY-MULTI,Unrated,7652.9,1.73,Open Ended,22-Sep-23,NIFTY 500 - TRI,12.9,13.41,10.8,-1.03,-4.28,0.77,16.01,7.95,20.69,22.14,12.14,174.89,72,149604,47.58,9.04,12.26,Financials,5.19,3.2,7.04,7.96,1.16,1.7,1.38,10.35,Hybrid : Multi Asset Allocation,Nil upto 30% of investment and 1% for remaining investment on or before 1Y Nil after 1Y
Kotak Multi Asset Allocator FoF-Dynamic(G),Devender Singhal,FOF-DOM,Unrated,1614.5,1.01,Open Ended,09-Aug-04,NIFTY 50 Hybrid Composite Debt 50:50 Index,222.15,227.7,185.13,0.03,-2.17,2.73,19.2,21.25,17.87,20.63,14.38,41.29,50,283686,46.35,86.6,6.8,Financials,3.91,2.4,7.17,8.79,1.62,2.39,1.88,8.85,FoFs : Domestic,Nil upto 8% of units and 1% for remaining units on or before 1Y Nil after 1Y
Kotak Multicap Fund-Reg(G),Devender Singhal,EQ-MLC,Unrated,15816.5,1.65,Open Ended,29-Sep-21,Nifty500 Multicap 50:25:25 - TRI,19.31,20.18,15.01,-0.07,-5.43,2.67,26.54,34.04,25.69,5.3,15.94,57.13,62,74545,43.05,24.34,28.81,Financials,9.85,1.32,7.13,17.21,1.31,1.93,0.98,16.87,Equity : Multi Cap,Nil upto 10% of investment and 1% for remaining investments on or before 1Y Nil after 1Y
Kotak NASDAQ 100 FoF-Reg(G),Arjun Khanna,FOF-OVR,Unrated,3339.6,0.67,Open Ended,02-Feb-21,Nasdaq-100 - TRI,18.13,18.75,13.68,2.43,8.05,9.03,28.21,42.01,13.48,29.48,6.73,1.15,15,209088,87.07,3.13,3.39,Financials,0.18,0.11,7.19,23.49,1.46,2.35,0.96,18.22,FoFs : Overseas,Nil
Kotak Nifty 100 Equal Weight Index Fund-Reg(G),Devender Singhal,EQ-INDX,Unrated,1468,0.72,Open Ended,23-Dec-24,Nifty100 Equal Weight - TRI,10.19,10.19,9.98,-0.65,0.07,-5.35,7.63,28.37,5.93,21.78,13.15,4.84,81,139322,44.8,14.17,20.57,Financials,7.23,2.11,7.45,2.52,5.46,11.29,1,20.18,Equity : Index Funds,NIL
Kotak Nifty 100 Low Volatility 30 ETF,Devender Singhal,EQ-ETF,Unrated,152.1,0.09,Open Ended,23-Mar-22,Nifty100 Low Volatility 30 - TRI,20.25,22.36,17.38,-0.46,-9.99,0.75,12.4,22.77,15.23,14.71,15.47,52.05,30,322998,96.54,3.45,3.81,FMCG,0.01,2.79,7.31,5.27,0.74,1.29,0.7,11.46,Equity : ETFs,4% on or before 1Y Nil after 1Y
Kotak NIFTY 100 Low Volatility 30 Index Fund-Reg(G),Devender Singhal,EQ-INDX,Unrated,80.7,0.95,Open Ended,07-Jun-24,Nifty100 Low Volatility 30 - TRI,10.44,11.56,9.98,-0.56,-10.24,0.03,6.66,20.94,6.04,5.46,12.76,33.1,30,323015,96.68,3.45,17.64,FMCG,3.33,0.59,7.37,11.24,1.02,1.6,0.03,8.42,Equity : Index Funds,Nil
Kotak Nifty 1D Rate Liquid ETF,Abhishek Bisen,DT-LIQ,Unrated,855.8,0.19,Open Ended,24-Jan-23,Nifty 1D Rate Index,1027.45,1027.45,1000,0.54,1.6,3.2,6.49,20.42,12.91,7.59,6.35,0,31,296037,42.52,18.82,28.92,Financials,5.01,2.17,6.73,0.71,6.32,8.37,0.35,0.11,Debt : Liquid,0.05% on or before 15D Nil after 15D
Kotak Nifty 200 Momentum 30 Index Fund-Reg(G),Devender Singhal,EQ-INDX,Unrated,394.7,0.79,Open Ended,15-Jun-23,Nifty200 Momentum 30 - TRI,15.79,17.99,12.91,-4.01,-12.9,-7.67,20.4,11.14,6.06,13.05,6.3,154.28,30,199220,87.07,12.91,73.87,Automobile and Ancillaries,0.08,3.88,7.39,11.31,0.8,1.17,1.24,22.01,Equity : Index Funds,Nil
Kotak Nifty 50 Equal Weight Index Fund-Reg(G),Devender Singhal,EQ-INDX,Unrated,1537.3,0.72,Open Ended,23-Dec-24,NIFTY50 Equal Weight - TRI,10.24,10.24,9.98,-4.85,-5.14,4.84,12.9,6.62,20.14,20.29,11.9,5.07,55,62881,14.85,37.78,17.97,Financials,6.55,6.83,7.31,3.91,1.02,1.48,0.17,13.96,Equity : Index Funds,NIL
Kotak Nifty 50 ETF,Devender Singhal,EQ-ETF,Unrated,2582.1,0.04,Open Ended,02-Feb-10,NIFTY 50 - TRI,263.05,284.68,228.54,-1.61,-7.82,-1.24,10.41,16.42,12.85,15.6,12.3,32.96,50,555827,98.69,1.25,4.7,Financials,0.69,3.2,7,2.34,0.5,0.77,0.99,13.94,Equity : ETFs,Nil
Kotak Nifty 50 Index Fund-Reg(G),Devender Singhal,EQ-INDX,Unrated,772.4,0.37,Open Ended,21-Jun-21,NIFTY 50 - TRI,15.59,16.93,13.65,-1.67,-7.93,-1.48,9.74,15.66,12.21,5.58,9.85,21.04,50,555827,98.76,1.25,7.77,Financials,2.83,0.39,6.99,1.34,0.46,0.7,0.99,13.98,Equity : Index Funds,Nil
Kotak Nifty 50 Value 20 ETF,Devender Singhal,EQ-ETF,Unrated,114.2,0.14,Open Ended,02-Dec-15,Nifty50 Value 20 - TRI,156.85,166.61,129.12,-1.85,-6.83,2.98,17.2,24.17,16.34,21.73,7.59,28.66,20,515689,98.26,1.63,73.38,Technology,3.16,2.77,7.2,9.12,0.94,1.54,0.94,14.36,Equity : ETFs,Nil
Kotak Nifty AAA Bond Jun 2025 HTM Index Fund-Reg(G),Abhishek Bisen,DT-SD,Unrated,20.1,0.3,Open Ended,28-Mar-24,Nifty AAA Bond Jun 2025 HTM Index,10.57,10.57,10,0.63,1.8,3.63,10.37,18.36,5.91,7.02,9.44,0,76,23198,47.58,8.59,9.33,Financials,0.37,0.34,7.55,2.29,0.5,0.76,0.86,0.37,Debt : Short Duration,Nil
Kotak Nifty Alpha 50 ETF,Devender Singhal,EQ-ETF,Unrated,439.2,0.3,Open Ended,22-Dec-21,Nifty Alpha 50 - TRI,54.98,59.25,40.98,0.98,-6.11,0.29,33.08,38.18,16.75,24.12,12.37,170.86,50,76519,30.25,53.87,15.85,Financials,0.48,0.11,7,22.6,1.17,1.7,1.21,24.16,Equity : ETFs,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
Kotak Nifty Bank ETF,Devender Singhal,EQ-ETF,Unrated,5327.5,0.15,Open Ended,04-Dec-14,NIFTY BANK - TRI,530.39,559.21,458,-1.94,-3.57,-2.72,6.57,9.99,13.94,9.77,10.83,45.41,12,538946,86.41,13.57,17.16,Financials,25.36,3.18,7.04,-1.31,0.22,0.32,1.08,17.46,Equity : ETFs,Nil
Kotak Nifty Financial Services Ex-Bank Index Fund-Reg(G),Devender Singhal,EQ-INDX,Unrated,39,0.74,Open Ended,14-Aug-23,Nifty Financial Services Ex-Bank - TRI,13.52,14.6,11.23,-0.11,-9.42,1.58,13.47,14.7,19.52,6.06,5.82,33.58,30,126944,67.15,27.16,5.51,Financials,9.6,2.13,6.48,5.44,0.56,0.83,1.11,19.81,Equity : Index Funds,Nil
Kotak Nifty G-Sec July 2033 Index Fund-Reg(G),Abhishek Bisen,DT-LD,Unrated,18.6,0.39,Open Ended,11-Oct-23,Nifty G-Sec July 2033 Index,11.18,11.18,10.23,0.46,1,4.64,9.07,15.78,21.59,26.04,16.61,0,36,144198,48.73,34.29,51.38,FMCG,7.54,5.54,6.92,1.81,2.63,4.76,0.98,1.8,Debt : Long Duration,Nil
Kotak NIFTY India Consumption ETF,Devender Singhal,EQ-ETF,Unrated,5.7,0.1,Open Ended,28-Jul-22,Nifty India Consumption - TRI,118.6,132.25,95.41,-0.16,-10.7,2.51,20.6,25.26,18.47,29.34,5.96,60.7,30,277659,92.14,7.83,23.79,FMCG,0.74,3.47,7.23,12.07,1.19,2.19,0.74,13.02,Equity : ETFs,1% on or before 15D Nil after 15D
Kotak Nifty India Tourism Index Fund-Reg(G),Devender Singhal,EQ-INDX,Unrated,23,0.96,Open Ended,23-Sep-24,Nifty India Tourism Index - TRI,10.02,10.02,8.62,6.29,2.53,-0.68,7.9,33.42,12.51,32.42,14.63,13.65,15,62527,19.57,59.21,23.23,Travel,6.87,0.37,7.08,3.6,10.34,19.98,0.67,11.88,Equity : Index Funds,Nil
Kotak Nifty IT ETF,Devender Singhal,EQ-ETF,Unrated,199.9,0.09,Open Ended,02-Mar-21,NIFTY IT - TRI,47.39,49.15,34.32,0.52,2.76,18.39,23.62,26.26,6.56,15.7,5.48,92.63,10,429485,83.84,16.15,91.95,Technology,3.37,4.85,6.98,16.43,1.02,1.87,0.74,19.49,Equity : ETFs,Nil
Kotak NIFTY Midcap 150 Momentum 50 Index Fund-Reg(G),Devender Singhal,EQ-INDX,Unrated,57.6,0.93,Open Ended,08-Oct-24,Nifty Midcap150 Momentum 50 - TRI,9.88,10.31,9.25,1.14,-4.26,4.69,7.82,7.38,9.91,5.84,11.7,57.1,50,76843,19.35,80.1,38.74,Financials,2.75,2.06,6.29,2.47,4.53,8.3,0.2,13.3,Equity : Index Funds,NIL
Kotak Nifty Midcap 50 ETF,Devender Singhal,EQ-ETF,Unrated,46.7,0.05,Open Ended,28-Jan-22,Nifty Midcap 50 - TRI,164.85,172.46,131.35,2.25,-5.28,1.5,21.86,36.19,10.57,24.68,12.29,108.07,51,70951,9.83,90.05,27.91,Financials,2.8,1.88,7.15,13.56,0.97,1.44,1.06,19.15,Equity : ETFs,Nil
Kotak NIFTY Midcap 50 Index Fund-Reg(G),Devender Singhal,EQ-INDX,Unrated,46.1,0.88,Open Ended,16-Aug-24,Nifty Midcap 50 - TRI,9.96,10.45,9.19,2.16,-5.52,2.93,18.82,8.29,14.41,5.75,12.26,31.91,51,70953,9.83,90,24.97,Financials,103,0.29,7.78,15.15,1.09,1.65,1.83,0.88,Equity : Index Funds,NIL
Kotak NIFTY MNC ETF,Devender Singhal,EQ-ETF,Unrated,31.6,0.3,Open Ended,05-Aug-22,NIFTY MNC - TRI,29,33.17,23.77,-2.47,-13.99,-7.82,16.52,21.14,20.38,14.97,14.17,35.72,30,132495,69.09,22.62,8.24,FMCG,0.6,4.94,6.66,9.17,0.9,1.47,0.77,14.12,Equity : ETFs,Nil for 15% of Units For excess of limits 1% on or before 12M and 0.50% after 12M but on or before 18M Nil after 18M
Kotak Nifty Next 50 Index Fund-Reg(G),Devender Singhal,EQ-INDX,Unrated,372.3,0.6,Open Ended,10-Mar-21,NIFTY NEXT 50 - TRI,19.66,22.1,15.16,-3.31,-11.51,-5.31,27.73,27.63,17.95,5.31,6.41,69.46,50,143043,88.11,11.74,33.08,Financials,3.23,0.29,7.33,17.31,1.14,1.66,1.14,20.19,Equity : Index Funds,Nil
Kotak Nifty PSU Bank ETF,Devender Singhal,EQ-ETF,Unrated,1434.3,0.49,Open Ended,08-Nov-07,NIFTY PSU BANK - TRI,657.88,798.86,563.65,-3.97,-3.31,-10.64,13.98,23.39,38.46,20.87,4.42,69.73,12,188009,62.22,37.78,28.1,Financials,0.11,1.8,7.39,7.64,0.49,0.71,1.48,30.03,Equity : ETFs,NIL
Kotak Nifty SDL Apr 2027 Top 12 Equal Weight Index Fund-Reg(G),Abhishek Bisen,DT-M&LD,Unrated,7938,0.35,Open Ended,11-Feb-22,Nifty SDL Apr 2027 Top 12 Equal Weight Index,11.75,11.75,10.86,0.57,1.51,3.91,8.27,7.51,10.43,5.09,6.56,0,50,278525,98.65,12.33,2.47,Financials,2.11,1.88,7.08,3.33,5.36,12.45,0.24,0.76,Debt : Medium to Long Duration,0.15% on or before 30D Nil after 30D
Kotak Nifty SDL Apr 2032 Top 12 Equal Weight Index Fund-Reg(G),Abhishek Bisen,DT-LD,Unrated,2904.4,0.36,Open Ended,11-Feb-22,Nifty SDL Apr 2032 Top 12 Equal Weight Index,12.16,12.16,10.97,0.71,1.64,4.78,10.12,8.63,5.61,5.56,7.77,0,1,19550,6.94,37.78,40,Financials,7,5.23,7.24,3.55,2.99,6.1,0.73,1.92,Debt : Long Duration,Nil
Kotak Nifty SDL Jul 2026 Index Fund-Reg(G),Abhishek Bisen,DT-M&LD,Unrated,121.2,0.41,Open Ended,22-Dec-22,Nifty SDL Jul 2026 Index,11.52,11.52,10.69,0.54,1.5,3.75,7.79,7.24,9.01,15.71,14.18,0,12,58755,13.17,12.86,12.63,Financials,1.41,1.28,7.07,3.18,5.96,14.28,0.17,0.62,Debt : Medium to Long Duration,Nil
Kotak Nifty SDL Jul 2033 Index Fund-Reg(G),Abhishek Bisen,DT-LD,Unrated,206.1,0.45,Open Ended,15-Feb-23,Nifty SDL Jul 2033 Index,11.78,11.78,10.59,1.03,1.59,4.94,10.7,17.63,15.1,23.16,4.89,0,62,223121,38.66,16.45,51.1,Financials,7.89,5.72,7.25,4.01,3.21,6.87,0.71,1.91,Debt : Long Duration,Nil
Kotak Nifty SDL Plus AAA PSU Bond Jul 2028 60:40 Index Fund-Reg(G),Abhishek Bisen,DT-M&LD,Unrated,588.3,0.4,Open Ended,13-Oct-22,Nifty SDL Plus AAA PSU Bond Jul 2028 60:40 Index,11.79,11.79,10.89,0.44,1.43,4.07,8.17,7.48,16.66,15.71,5.84,0,28,71161,14.27,1.25,6.65,Financials,3.09,2.6,7.25,2.95,4.15,8.74,0.36,0.97,Debt : Medium to Long Duration,Nil
Kotak Nifty Smallcap 50 Index Fund-Reg(G),Devender Singhal,EQ-INDX,Unrated,113,0.89,Open Ended,10-Apr-23,Nifty Smallcap 50 - TRI,20.93,21.87,15.4,0.17,-3.11,3.15,24.41,6.34,9.84,6.22,12.32,78.28,50,24440,71.44,15.06,84.81,Financials,0.01,0.01,6.78,15.75,1,1.46,1.04,21.11,Equity : Index Funds,Nil
Kotak Overnight Fund-Reg(G),Deepak Agrawal,DT-ON,3,5739.2,0.16,Open Ended,15-Jan-19,Nifty 1D Rate Index,1333.92,1333.92,1251.23,0.55,1.61,3.24,6.63,6.6,5.93,4.82,16.28,0,57,50745,98.76,35.53,41.45,Healthcare,0.01,2.11,6.79,0.83,7.11,9.75,0.23,0.12,Debt : Overnight,Nil
Kotak Pioneer Fund-Reg(G),Harish Bihani,EQ-THEM,Unrated,2693.6,1.88,Open Ended,25-Oct-19,NIFTY 500 - TRI,30.3,31.83,23.25,1.19,-3.6,3.5,29.09,32.71,17.35,23.95,6.93,31.86,47,97669,36.59,28.75,16.56,Automobile and Ancillaries,4.7,1.3,8.5,19.18,1.86,2.99,0.72,12.3,Equity : Thematic,0.50% on or before 90D Nil after 90D
Kotak Quant Fund-Reg(G),Harsha Upadhyaya,EQ-THEM,Unrated,847.4,1.41,Open Ended,02-Aug-23,NIFTY 200 - TRI,14.98,16.64,12.45,-0.55,-11.06,-4.79,18.67,21.18,6.39,4.87,7.04,185.99,48,114823,55.11,35.96,5.65,Financials,0.12,2.14,7.74,10,0.83,1.2,1.06,18.6,Equity : Thematic,0.50% on or before 90D Nil after 90D
Kotak Savings Fund(G),Deepak Agrawal,DT-USD,3,13449.5,0.82,Open Ended,13-Aug-04,NIFTY Ultra Short Duration Debt Index,41.36,41.36,38.59,0.6,1.69,3.47,7.2,7.01,6.16,5.49,6.61,0,50,120906,94.17,12.31,13.58,Healthcare,0.46,0.44,7.45,3.07,10.51,20.93,0.03,0.3,Debt : Ultra Short Duration,Nil
Kotak Silver ETF,Jeetu Valechha Sonar,GOLD-ETF,Unrated,764.7,0.45,Open Ended,12-Dec-22,Silver,85.88,97.19,68.65,-3.79,-4.51,-2.12,15.96,10.33,5.4,5.3,14.06,7.88,50,179006,57.32,58.25,10.73,Energy,2.92,0.21,7.23,13.1,0.63,1.08,0.54,23.42,Gold : ETFs,1% on or before 12M Nil after 12M
Kotak Silver ETF FoF-Reg(G),Jeetu Valechha Sonar,GOLD-MF,Unrated,55,0.6,Open Ended,31-Mar-23,Silver,11.8,13.33,9.55,-3.55,-4.26,-2.09,14.78,6.99,16.76,7.97,8.37,46.65,65,86978,74.52,19.96,38.39,Financials,3.57,7.01,7.04,11.01,0.57,0.99,0.73,23.11,Gold : MFs,0.5% on or before 30D Nil after 30D
Kotak Small Cap Fund(G),Harish Bihani,EQ-SML,4,17732,1.64,Open Ended,24-Feb-05,Nifty Smallcap 250 - TRI,278.9,290.42,206.06,0.69,-4.31,3.88,26.33,30.61,18.47,30.34,18.69,24.76,77,19126,4.74,19.22,73.87,Healthcare,3.17,10.25,7.17,17.79,1.46,2.12,0.71,14.66,Equity : Small Cap,Nil upto 10% of investment and 1% for remaining investment on or before 1Y Nil after 1Y
Kotak Special Opportunities Fund-Reg(G),Devender Singhal,EQ-THEM,Unrated,2328.1,1.99,Open Ended,29-Jun-24,NIFTY 500 - TRI,10.12,10.71,9.67,-1.6,-5.79,-0.03,7.78,19.26,5.77,13.04,7.17,5.62,40,48636,32.49,15.53,51.1,FMCG,1.75,0.01,8.12,2.34,4.06,8.64,0.89,19.76,Equity : Thematic,0.50% on or before 90D Nil after 90D
Kotak Technology Fund-Reg(G),Shibani Kurian,EQ-TECH,Unrated,586.4,2.39,Open Ended,04-Mar-24,BSE TECk Index - TRI,12.6,13.19,9.48,0.34,-0.69,15.36,41.76,24.55,6.53,8.42,7.97,13.04,29,261454,70.97,14.2,10.98,Technology,0.01,0.1,3.51,30.21,2.51,4.52,0.99,0.32,Equity : Sectoral - Technology,0.50% on or before 30D Nil after 30D
Kotak Transportation & Logistics Fund-Reg(G),Nalin Rasik Bhatt,EQ-AUTO,Unrated,514.7,2.41,Open Ended,16-Dec-24,Nifty Transportation & Logistics - TRI,10.15,10.15,9.95,0.66,-2.56,3.62,7.35,9.33,11.11,6.69,19.04,31.34,10,156269,83.72,8.14,27.04,Financials,0.99,1.63,7.24,0.73,12.53,5.44,1.02,10.83,Equity : Sectoral - Auto,0.50% on or before 90D Nil after 90D
LIC MF Aggressive Hybrid Fund(G),Karan Doshi,HY-EQ,3,535.9,2.46,Open Ended,01-Jan-91,CRISIL Hybrid 35+65 - Aggressive Index,193.14,201.03,162.18,-0.85,-4.24,1.11,17.2,18.78,11.43,11.72,8.29,53,51,128098,44.84,10.66,21,Financials,0.74,0.16,3.91,7.31,1.12,1.66,1.9,11.47,Hybrid : Equity Oriented,Nil upto 12% on units and 1% on remaining units on or before 3M Nil after 3M
LIC MF Arbitrage Fund-Reg(G),Sumit Bhatnagar,HY-ARB,Unrated,237.6,0.99,Open Ended,25-Jan-19,Nifty 50 Arbitrage,13.38,13.38,12.51,0.61,1.76,3.34,7.05,6.91,5.96,4.9,6.78,262,65,178883,44.77,17.13,5.48,Financials,2.93,5.33,7.13,3.25,3.08,6.68,-0.11,0.94,Hybrid : Arbitrage,0.25% on or before 1M Nil after 1M
LIC MF Balanced Advantage Fund-Reg(G),Yogesh Patil,HY-EQ,Unrated,797.1,2.28,Open Ended,12-Nov-21,NIFTY 50,13.45,13.54,11.69,0.6,-0.63,3.6,12.52,13.24,10.64,18.81,14.63,50,69,264069,56.8,7.64,10.96,Financials,6.97,4.97,7,4.08,1.13,1.67,1.41,7.3,Hybrid : Equity Oriented,Nil upto 12% of units and 1% on remaining units on or before 3M Nil after 3M
LIC MF Banking & Financial Services Fund-Reg(G),Jaiprakash Toshniwal,EQ-FIN,Unrated,263.1,2.42,Open Ended,27-Mar-15,Nifty Financial Services - TRI,19.47,20.89,17.61,-2.33,-6.14,-6.33,0.42,10.75,13.72,9.45,13.48,57,30,175857,60.83,9.77,27.78,Financials,4.63,1.73,7.75,-7.26,-0.13,-0.19,1.02,16.29,Equity : Sectoral - Financial Services,Nil upto 12% of units and 1% on remaining units on or before 90D Nil after 90D
LIC MF Banking & PSU Fund-Reg(G),Marzban Irani,DT-B&PSU,2,1851.9,0.78,Open Ended,30-May-07,NIFTY Banking and PSU Debt Index,33.26,33.26,30.86,0.46,1.37,3.88,7.75,7.13,5.76,5.65,6.55,0,68,188009,41.53,1.25,4.91,Financials,4.22,3.32,7.3,2.65,5.15,10.04,0.34,0.71,Debt : Banking & PSU,NIL
LIC MF BSE Sensex ETF,Sumit Bhatnagar,EQ-ETF,Unrated,835.8,0.1,Open Ended,30-Nov-15,BSE SENSEX - TRI,886.79,950.8,772.86,-1.64,-6.7,-0.87,9.75,15.58,12.39,15.15,6.6,7,30,684518,99.26,0.72,8.24,Financials,0.01,6.96,6.98,1.34,0.46,0.71,1,13.9,Equity : ETFs,0.10% on or before 30D Nil after 30D
LIC MF BSE Sensex Index Fund-Reg(G),Sumit Bhatnagar,EQ-INDX,Unrated,83.9,1.08,Open Ended,28-Nov-02,BSE SENSEX - TRI,149.26,160.45,131.27,-1.73,-6.93,-1.34,8.7,14.48,11.28,14.06,10.98,11,30,685223,99,0.71,40,Financials,3.37,2.76,7.58,0.35,0.39,0.6,0.99,13.87,Equity : Index Funds,0.25% on or before 7D Nil after 7D
LIC MF Childrens Fund-Reg(G),Nikhil Rungta,HY-SOL,Unrated,16.6,2.45,Open Ended,16-Oct-01,CRISIL Hybrid 35+65 - Aggressive Index,35.32,35.51,28.57,2.61,-0.9,5.33,19.72,21.58,13.64,13.67,9.18,81,46,63782,42.8,7.43,37.53,Financials,2.39,1.73,7.04,10.16,1.14,1.69,1.71,13.35,Hybrid : Solution Oriented,Nil
LIC MF Conservative Hybrid Fund(G),Pratik Shroff,HY-DT(CO),Unrated,50.2,2.25,Open Ended,01-Apr-98,CRISIL Hybrid 85+15 - Conservative Index,79.93,80.31,73.1,0.02,-0.48,3.15,8.26,7.93,5.58,6.73,6.43,0,7,560590,18.79,10.54,1.62,Financials,5.88,4.62,6.93,1.86,1.32,2.42,0.77,3.16,Hybrid : Debt Oriented (Conservative),Nil upto 12% of units and 1% on remaining units on or before 90D Nil after 90D
LIC MF Dividend Yield Fund-Reg(G),Dikshit Mittal,EQ-DIV,Unrated,463.6,2.46,Open Ended,21-Dec-18,NIFTY 500 - TRI,30.92,32.76,22.89,-0.16,-6.89,2.46,32.5,33.37,20.79,23.16,6.61,73,65,64866,44.97,13.62,38.99,Financials,2.56,3.47,7.36,21.39,1.58,2.3,0.98,16.71,Equity : Thematic - Dividend Yield,Nil upto 12% of units and 1% for remaining units on or before 12M Nil after 12M
LIC MF ELSS Tax Saver-Reg(G),Yogesh Patil,EQ-ELSS,2,1147.4,2.13,Open Ended,31-Mar-98,NIFTY 500 - TRI,157.16,160.52,120.92,1.23,-3.7,3.61,23.7,25.9,16.07,16.42,12.26,17,56,157861,63.09,15.4,20.57,Financials,7.85,3.83,7.52,13.91,1.33,2.04,0.87,13.77,Equity : Tax Saving (ELSS),Nil
LIC MF Equity Savings Fund(G),Sumit Bhatnagar,HY-EQ,Unrated,20.2,2.04,Open Ended,07-Mar-11,NIFTY 50 Equity Savings Index,26.42,26.64,23.93,0.25,-0.71,2.07,8.96,10.77,8.14,8.8,6.72,68,57,118721,44.8,10.37,18.04,Financials,0.07,0.05,6.79,2.39,0.77,1.09,0.93,6.65,Hybrid : Equity Oriented,Nil upto 12% of units and 1% for remaining units on or before 3M Nil after 3M
LIC MF Flexi Cap Fund-Reg(G),Nikhil Rungta,EQ-FLEX,2,1075.4,2.27,Open Ended,31-Mar-98,NIFTY 500 - TRI,102.57,107.44,82.73,-0.58,-5.67,0.55,18.96,24.62,14.98,14.86,9.42,132,72,45081,37.4,14.49,45.85,Financials,22.09,2.12,7.28,10.74,1.03,1.51,0.86,14.64,Equity : Flexi Cap,Nil upto 12% on units and 1% on remaining units on or before 3M Nil after 3M
LIC MF Focused Fund-Reg(G),Jaiprakash Toshniwal,EQ-LC,3,143.1,2.51,Open Ended,17-Nov-17,NIFTY 500 - TRI,21.17,23.29,17.73,-2.24,-8.91,0.02,13.02,16.47,11.2,15.57,11.76,162,30,56264,45.8,12.48,36.57,Financials,0.05,5.33,7.47,5.59,0.69,1.08,0.82,14.06,Equity : Large Cap,Nil upto 12% of units and 1% for remaining units on or before 12M Nil after 12M
LIC MF Gilt Fund-PF(G),Marzban Irani,DT-GILT,Unrated,94.7,1.48,Open Ended,29-Dec-03,Nifty All Duration G-Sec Index,33.23,33.35,30.52,0.35,0.07,3.51,8.57,7.3,5.43,5.7,6.79,0,50,212748,34.16,64.92,21,Financials,22.22,9.6,7.09,0.66,1.91,3.29,1.2,2.21,Debt : Gilt,0.25% on or before 30D
LIC MF Gilt Fund-Reg(G),Marzban Irani,DT-GILT,Unrated,94.7,1.48,Open Ended,29-Nov-99,Nifty All Duration G-Sec Index,57.54,57.74,52.85,0.35,0.07,3.51,8.57,7.3,5.43,5.7,6.77,0,23,415145,18.31,29.01,33.29,Financials,22.22,9.6,7.09,0.66,1.91,3.29,1.2,2.21,Debt : Gilt,0.25% on or before 30D
LIC MF Gold ETF,Sumit Bhatnagar,GOLD-ETF,Unrated,170,0.41,Open Ended,09-Nov-11,Gold-India,7016.74,7241.9,5615.9,-0.59,0.55,5.72,19.22,17.45,16.41,13.76,10.15,0,31,78437,48.35,10.66,34.85,Financials,7,0.35,7.49,15.88,1.01,1.43,-0.22,15.06,Gold : ETFs,Nil
LIC MF Gold ETF FoF(G),Sumit Bhatnagar,GOLD-MF,Unrated,70,0.67,Open Ended,14-Aug-12,Gold-India,20.25,21.27,16.38,-0.3,0.42,5.9,18.99,16.61,15.39,12.9,8.94,0,20,322282,89.8,24.69,15.89,Financials,0.15,3.35,7.78,15.3,1.06,1.69,-0.05,14.31,Gold : MFs,1% on or before 15D Nil after 15D
LIC MF Healthcare Fund-Reg(G),Karan Doshi,EQ-PHRM,Unrated,84.2,2.44,Open Ended,28-Feb-19,BSE Health Care - TRI,30.62,30.72,21.7,0.98,2.78,23.1,42.5,35.31,16.78,23.44,8.29,38,23,50745,28.59,27.48,39.76,Healthcare,0.42,0.1,7.33,30.49,2.39,4.27,0.49,13.77,Equity : Sectoral - Pharma,Nil upto 12% of units and 1% for remaining units on or before 90D Nil after 90D
